/home/takayuki/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
cpu
Epoch 39 - Train Loss: 575178658736314.1, Train r2: 0.006564915180206299, Val Loss: 579085865274187.2, Val r2: 0.007760345935821533
Epoch 40 - Train Loss: 575620535017720.2, Train r2: 0.006594240665435791, Val Loss: 577314836693955.8, Val r2: 0.00729060173034668
Epoch 41 - Train Loss: 575047285509026.9, Train r2: 0.006684422492980957, Val Loss: 578201236228939.2, Val r2: 0.007125735282897949
Epoch 42 - Train Loss: 575946108587411.4, Train r2: 0.006538808345794678, Val Loss: 575180993909458.9, Val r2: 0.0076225996017456055
Epoch 43 - Train Loss: 576129411365422.5, Train r2: 0.006556212902069092, Val Loss: 583667967713761.9, Val r2: 0.0073677897453308105
Epoch 44 - Train Loss: 575755977990888.8, Train r2: 0.006655871868133545, Val Loss: 578517210419922.9, Val r2: 0.0072876811027526855
Epoch 45 - Train Loss: 576109170416919.2, Train r2: 0.006670653820037842, Val Loss: 583431000393607.5, Val r2: 0.00749582052230835
Epoch 46 - Train Loss: 576116323611741.1, Train r2: 0.006675839424133301, Val Loss: 577329719071442.9, Val r2: 0.007304668426513672
Epoch 47 - Train Loss: 576236393062648.2, Train r2: 0.006611764430999756, Val Loss: 576464243685496.5, Val r2: 0.0070452094078063965
Epoch 48 - Train Loss: 576528043609987.9, Train r2: 0.00661015510559082, Val Loss: 575169808440862.1, Val r2: 0.007088005542755127
Epoch 49 - Train Loss: 576066598485519.5, Train r2: 0.0066634416580200195, Val Loss: 583942782459422.1, Val r2: 0.007590293884277344
Epoch 50 - Train Loss: 576476541624071.8, Train r2: 0.006669282913208008, Val Loss: 576136101078437.6, Val r2: 0.007922649383544922
Epoch 51 - Train Loss: 575772088693853.1, Train r2: 0.006599068641662598, Val Loss: 571202802163230.1, Val r2: 0.007355988025665283
Epoch 52 - Train Loss: 575794778099091.4, Train r2: 0.006630837917327881, Val Loss: 579218057893526.6, Val r2: 0.007168412208557129
Epoch 53 - Train Loss: 575935604016593.5, Train r2: 0.006715059280395508, Val Loss: 575289153660325.6, Val r2: 0.007215261459350586
Epoch 54 - Train Loss: 576267845258643.4, Train r2: 0.006618380546569824, Val Loss: 576351366576248.5, Val r2: 0.006898760795593262
Epoch 55 - Train Loss: 575558784694830.5, Train r2: 0.006695866584777832, Val Loss: 580889463365150.1, Val r2: 0.007273435592651367
Epoch 56 - Train Loss: 576581752054008.2, Train r2: 0.0065844058990478516, Val Loss: 577621666315324.2, Val r2: 0.007596790790557861
Epoch 57 - Train Loss: 575232044854427.1, Train r2: 0.0065940022468566895, Val Loss: 583934652417927.5, Val r2: 0.007243216037750244
Epoch 58 - Train Loss: 576045584259878.8, Train r2: 0.006666600704193115, Val Loss: 577719874216417.9, Val r2: 0.006964325904846191
Epoch 59 - Train Loss: 575802922166458.1, Train r2: 0.006663680076599121, Val Loss: 577251722781153.9, Val r2: 0.007072508335113525
Epoch 60 - Train Loss: 575790588370695.8, Train r2: 0.006714940071105957, Val Loss: 583484809859794.9, Val r2: 0.007100999355316162
Epoch 61 - Train Loss: 575839623597459.4, Train r2: 0.006714820861816406, Val Loss: 577589698810578.9, Val r2: 0.007084071636199951
Epoch 62 - Train Loss: 575772461859809.0, Train r2: 0.0067198872566223145, Val Loss: 583191664525312.0, Val r2: 0.007096648216247559
Epoch 63 - Train Loss: 576180985544207.5, Train r2: 0.006716489791870117, Val Loss: 580288152153389.1, Val r2: 0.00711977481842041
Epoch 64 - Train Loss: 576168114877533.1, Train r2: 0.006720781326293945, Val Loss: 581487790206253.1, Val r2: 0.007139980792999268
Epoch 65 - Train Loss: 575830531363188.4, Train r2: 0.00671696662902832, Val Loss: 582447555519909.6, Val r2: 0.007093966007232666
Epoch 66 - Train Loss: 575498582959817.8, Train r2: 0.006719768047332764, Val Loss: 576702132765635.8, Val r2: 0.00711214542388916
Epoch 67 - Train Loss: 575481189054029.6, Train r2: 0.0067234039306640625, Val Loss: 577296654139392.0, Val r2: 0.007181763648986816
Epoch 68 - Train Loss: 575570167781686.2, Train r2: 0.006733417510986328, Val Loss: 581668072248018.9, Val r2: 0.007224678993225098
Epoch 69 - Train Loss: 575674793551065.2, Train r2: 0.006736278533935547, Val Loss: 579033474963094.6, Val r2: 0.0072255730628967285
Epoch 70 - Train Loss: 576378458968932.9, Train r2: 0.006723165512084961, Val Loss: 578825451301225.4, Val r2: 0.007205605506896973
Epoch 71 - Train Loss: 575488682877176.2, Train r2: 0.006736695766448975, Val Loss: 572743609837929.4, Val r2: 0.007256567478179932
Epoch 72 - Train Loss: 575941632629542.8, Train r2: 0.006733298301696777, Val Loss: 583603468200297.4, Val r2: 0.007299244403839111
Epoch 73 - Train Loss: 576275233842889.8, Train r2: 0.006743371486663818, Val Loss: 582291006330518.6, Val r2: 0.007353842258453369
Epoch 74 - Train Loss: 575785262875617.0, Train r2: 0.0067484378814697266, Val Loss: 584690833123689.4, Val r2: 0.00745469331741333
Epoch 75 - Train Loss: 576260362620307.4, Train r2: 0.0067449212074279785, Val Loss: 579356237018292.8, Val r2: 0.0074533820152282715
Epoch 76 - Train Loss: 575430423740416.0, Train r2: 0.006735801696777344, Val Loss: 577182247342802.9, Val r2: 0.007441818714141846
Epoch 77 - Train Loss: 575009958745429.4, Train r2: 0.0067522525787353516, Val Loss: 576576587871412.8, Val r2: 0.007451355457305908
Epoch 78 - Train Loss: 575631538329413.9, Train r2: 0.006749331951141357, Val Loss: 580264977883617.9, Val r2: 0.007442593574523926
